entry,defid,word,author,definition,example,thumbs_up,thumbs_down
aarushi,6178619,Aarushi,Sonny_Sonshine,"This means the first ray of the sun. A person with this name has the qualities of being a leader they are intelligent and they observer everything very carefully. They are truly nice, kind and good in and out. People named Aarushi are said to be perfectionists at everything and want everything to be perfect. They have said to have a very competitive attitude.

Since the name mean first ray of the sunny Aarushi's have a sunny personality in them they are optimistic about everything and they always see the good in everyone. People named Aarushi are fun loving people and always enthusiastic. The name Aarushi goes to someone who is strong (not physically) meaning being able to hold in pain but still be smiling for others.","Random 1 - ""hi can you please help me""
Aarushi - ""aw of course""
Random 2 - look how kind Aarushi is.

Random 3_ 'Oh i cant do it!'
Aarushi _ ""yes you can dont give up keep trying!""
Random 4_ looks thats Aarushi always helping",437,121
aarushi,7559697,Aarushi,CocoaSugar,"Aarushi is an Arabic name, usually given to pretty Arab teenage girls signifying their beauty like a 'Ray of sunshine' and promising a prosperous, blessed life.","Guy: henceforth, I shall rename thou Aarushi
Aarushi: sweet! I'm good for life!",27,9
aa-maps,1880874,aa-maps,Mr Secksie,Custom map making site for the popular FPS [America's Army].,wow aa-maps.net is teh pwn,5,5
aadilstep,6374061,Aadilstep,DeathByAadilStep,"Aadilstep is a growing music genre with potentially life-threatening bass.

Known side effects of Aadilstep are:

Involuntary bowel movement.
Multiple personality disorder.
Pregnancy.
Violent bleeding from the eyes, nose and mouth.

Research into Aadilstep has shown that:

Aadilstep actually caused the AIDS virus.
Aadilstep caused several outbreaks of schizotypal personality in Mirfield.","Speakers playing Aadilstep: ""WOOOMP WOMP""

Conor: ""My GOD, I have just shit myself"".
Jake: ""HELP; my wife is giving birth!"".",14,2
aaaaaaah yes!,4473878,aaaaaaah yes!,"s,cgf yftcmyj",You scream this when Im having sex with you!,"Y:AAAAAAAAH YES!
M:OH YEAH BABY!",12,9
aaron prejean,6106661,Aaron Prejean,Thebestgirlfriendever<3,The best boyfriend ever. Amazing thoughtfull loves LSU allways a good time loves to make jokes that arent funny green eyes and blond hair super buff loves football you cant ever get enough of him,"My boyfriend is the best!
Well he's not an Aaron Prejean, but he's close
Yeah well you cant find many aarons!",1,1
azaan,4140013,Azaan,notvalid30,A man or woman that is world-class in the art of sex or sexual practice. Also a term used to describe amazing people.,"Oh, Billy...you are SO azaan.",39,18
aahoosh crying,6208910,Aahoosh crying,Notsickening,"When someone gets hurt/injured and leads to crying where ones face is in their arms, facing downwards on a surface,(eg desk).Remarks made during this type of crying is""You hit me in the corner of my right eye"" and ""Lets see you in the field tomorrow!""This also usually leads to studying Biology.","Sachin slaps Aarush.
Sachin:Abbey again hes doing a aahoosh crying.
Achintya:Can you guess what Im imitating (Starts aahoosh crying)",7,4
abdaar,918102,Abdaar,Jaig,A person from a pakistani origin.,"Oi Abdaar, your daughter kicked my dog!",26,14
aarsh,4010451,aarsh,Raptor1090,"hairy, vegetarian, meat-eating, guy loving homosexual, homeless and jobless cave man who runs around naked with a club.",look! its an Aarsh!,26,25
